NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Município (Código),Município,Ano (Código),Ano,Variável (Código),Variável,Situação do domicílio (Código),Situação do domicílio,Sexo do responsável pelo domicílio (Código),Sexo do responsável pelo domicílio
6,Município,45,Pessoas,14077,1304237,Tonantins - AM,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,10493,1304260,Uarini - AM,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,16940,1304302,Urucará - AM,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,16653,1304401,Urucurituba - AM,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,11003,1400050,Alto Alegre - RR,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,162828,1400100,Boa Vista - RR,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,13085,1400159,Bonfim - RR,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,9378,1400209,Caracaraí - RR,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,13268,1400308,Mucajaí - RR,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,10211,1400407,Normandia - RR,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,8993,1400506,São João da Baliza - RR,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,11395,1400605,São Luiz - RR,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,106430,1500107,Abaetetuba - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,5103,1500131,Abel Figueiredo - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,50735,1500206,Acará - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,24569,1500305,Afuá - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,20536,1500347,Água Azul do Norte - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,51189,1500404,Alenquer - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,33537,1500503,Almeirim - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,75384,1500602,Altamira - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,15532,1500701,Anajás - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,338907,1500800,Ananindeua - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,30241,1500909,Augusto Corrêa - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,15434,1500958,Aurora do Pará - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,13621,1501006,Aveiro - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,10509,1501105,Bagre - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,20312,1501204,Baião - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,54002,1501303,Barcarena - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,1140349,1501402,Belém - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,77027,1501501,Benevides - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,11081,1501576,Bom Jesus do Tocantins - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,10050,1501600,Bonito - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,102114,1501709,Bragança - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,13940,1501725,Brasil Novo - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,6513,1501758,Brejo Grande do Araguaia - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,20170,1501782,Breu Branco - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,75093,1501808,Breves - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,17934,1501907,Bujaru - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
6,Município,45,Pessoas,17178,1502004,Cachoeira do Arari - PA,1996,1996,247,População residente em domicílios particulares permanentes,0,Total,0,Total
